ID;NAMA;DUSUN;DESA;KECAMATAN;JENIS;STATUS;POTENSI;X;Y;SURVEYOR;REFERENSI
652;L. Plalangan;Klumpit;Kenteng;Ponjong;;;;472826;9120723;Kelompok Studi Karst F.Geografi UGM 2010;
653;L. Wuto;jarak;kenteng;Ponjong;;;;472533;9118701;Kelompok Studi Karst F.Geografi UGM 2010;
654;L. Jomblang;jomblang lor;karangasem;Ponjong;;;;473352;9115143;Kelompok Studi Karst F.Geografi UGM 2010;
655;L. Jati;bedoyo kidul;bedoyo;Ponjong;;;;471756;9113224;Kelompok Studi Karst F.Geografi UGM 2010;
656;L. Jembul;bedoyo kidul;bedoyo;Ponjong;;;;470726;9112453;Kelompok Studi Karst F.Geografi UGM 2010;
657;L. Sombo;pokrandu;gombang;Ponjong;;;;465766;9113611;Kelompok Studi Karst F.Geografi UGM 2010;
658;L. Bendo;pokrandu;gombang;Ponjong;;;;465884;9113838;Kelompok Studi Karst F.Geografi UGM 2010;
659;L. Lebuh;;gombang;Ponjong;;;;467709;9113042;Kelompok Studi Karst F.Geografi UGM 2010;
660;L. Ngrisik;ngrejek wetan;gombang;Ponjong;;;;467459;9111948;Kelompok Studi Karst F.Geografi UGM 2010;
661;L. Songo;poko;sidorejo;Ponjong;;;;466843;9116266;Kelompok Studi Karst F.Geografi UGM 2010;
662;G. Krendo;;Tambak romo;Ponjong;;;;473753;9121162;Kelompok Studi Karst F.Geografi UGM 2010;
663;G. Gunung Gua;Pijiman;Tambak romo;Ponjong;;;;473485;9121712;Kelompok Studi Karst F.Geografi UGM 2010;
664;G. Rinjani;Klumpit;Kenteng;Ponjong;;;;472596;9120175;Kelompok Studi Karst F.Geografi UGM 2010;
665;G. Gilap;Klumpit;Kenteng;Ponjong;;;;472970;9119480;Kelompok Studi Karst F.Geografi UGM 2010;
666;G. Munggur;;Kenteng;Ponjong;;;;472655;9118976;Kelompok Studi Karst F.Geografi UGM 2010;
667;G. Towo;Klepu;Karangasem;Ponjong;;;;472455;9113672;Kelompok Studi Karst F.Geografi UGM 2010;
668;Besole;;;Tepus;;;;461242;9100499;EB - ACY VIII, 2011;
669;Buto;;;Tepus;;;;460371;9102188;EB - ACY VIII, 2011;
670;Kempul;;;Tepus;;;;460207;9099783;EB - ACY VIII, 2011;
671;Klothok;;;Tepus;;;;459775;9100916;EB - ACY VIII, 2011;
672;Mabang;;;Tepus;;;;460690;9100733;EB - ACY VIII, 2011;
673;Manguwah;;;Tepus;;;;458561;9098812;EB - ACY VIII, 2011;
674;Ndadabong;;;Tepus;;;;458856;9098812;EB - ACY VIII, 2011;
675;Ngasem;;;Tepus;;;;460068;9101230;EB - ACY VIII, 2011;
676;Panjung;;;Tepus;;;;456990;9099268;EB - ACY VIII, 2011;
677;Pucung Kidul;;;Tepus;;;;460221;9101970;EB - ACY VIII, 2011;
678;Pucung Lor;;;Tepus;;;;460386;9102127;EB - ACY VIII, 2011;
679;Bedilan;;;Tepus;;;;460032;9102446;EB - ACY VIII, 2011;
680;Kalongan;;;Tepus;;;;460425;9101079;EB - ACY VIII, 2011;
681;Alas Tlogo Mati;;;Tepus;;;;462306;9101285;EB - ACY VIII, 2011;
682;Blekonang;;;Tepus;;;;460870;9102419;EB - ACY VIII, 2011;
683;Ceruk;;;Tepus;;;;461613;9102114;EB - ACY VIII, 2011;
684;Tegal Branjanga;;;Tepus;;;;461711;9101762;EB - ACY VIII, 2011;
685;Kentheng;;;Tepus;;;;462101;9100260;EB - ACY VIII, 2011;
686;Luweng Ngibeng;;;Tepus;;;;459484;9099410;EB - ACY VIII, 2011;
687;Banyu Mudal;;;Tepus;;;;459639;9097471;EB - ACY VIII, 2011;
688;Sungap;;;Tepus;;;;459671;9097932;EB - ACY VIII, 2011;
