ID;NAMA;DUSUN;DESA;KECAMATAN;JENIS;STATUS;POTENSI;X;Y;SURVEYOR;REFERENSI
463;Gimeng;Sawahan;Umbulrejo;Ponjong;Vertikal;Unexplored;;;;YA 2008;
464;Paesan / Cenguk;Sawahan;Umbulrejo;Ponjong;Horisontal;Mapped;;473994;9121516;ASC 1995, YA 1999;
465;Waru;Tukluk;Tambakromo;Ponjong;Vertikal;Unexplored;;473976;9121080;Geografi 2009;
466;Dilem;Duwet;Purwodadi;Tepus;Horisontal;Sketches;;;;ASC 2007;
467;Senen ;Duwet;Purwodadi;Tepus;Vertikal;Sketches;;;;ASC 2007;
468;Cerme;Srunggo;Selopamioro;Bantul;Horisontal;Mapped;;;;ASC 1988;
469;Ploso / Pring Wulung;Ploso;Giriasih;Panggang;Horisontal;Mapped;;443286;9108469;ASC 1988;
470;Bekah;Temon;Giripurwo;Purwosari;Horisontal;Mapped;;431712;9107721;ASC 1996, YA 2004, Sekber V 2005;
471;L. Ombo;Temon;Giripurwo;Purwosari;Vertikal;Mapped;;432777;9109204;EB-ACY-Sekber V 2005;
472;L. Wuto;Temon;Giripurwo;Purwosari;Vertikal;Mapped;;432668;9109929;EB-ACY-Sekber V 2005;
473;L. Mban-mban;Temon;Giripurwo;Purwosari;Vertikal;Mapped;;432433;9109331;EB-ACY-Sekber V 2005;
474;Plandakan;Temon;Giripurwo;Purwosari;Vertikal;Mapped;;432260;9109852;EB-ACY-Sekber V 2005;
475;Karang Melung I;Temon;Giripurwo;Purwosari;Vertikal;Mapped;;433080;9109813;EB-ACY-Sekber V 2005;
476;Karang Melung II;Temon;Giripurwo;Purwosari;Vertikal;Mapped;;;;EB-ACY-Sekber V 2005;
477;L. Duren;Temon;Giripurwo;Purwosari;Vertikal;Mapped;;432347;9108749;EB-ACY-Sekber V 2005;
478;L. Ngulet;Temon;Giripurwo;Purwosari;Vertikal;Mapped;;432841;9108880;EB-ACY-Sekber V 2005;
479;L. Kesari;Kesari;Giripurwo;Purwosari;Vertikal;Mapped;;433037;9111284;EB-ACY-Sekber V 2005;
480;L. Cabe;Temon;Giripurwo;Purwosari;Vertikal;Mapped;;432010;9108981;EB-ACY-Sekber V 2005;
481;L. Ngiser;Widoro;Giripurwo;Purwosari;Vertikal;Mapped;;433575;9109152;EB-ACY-Sekber V 2005;
482;L. Widoro;Widoro;Giripurwo;Purwosari;Vertikal;Mapped;;434414;9111564;EB-ACY-Sekber V 2005;
483;L. Tumbelang;Tlogowarak;Giripurwo;Purwosari;Vertikal;Mapped;;431981;9112212;EB-ACY-Sekber V 2005;
484;L. Singo;Widoro;Giripurwo;Purwosari;Vertikal;Mapped;;435009;9113378;EB-ACY-Sekber V 2005;
485;Pego;Tlogowarak;Giripurwo;Purwosari;Vertikal;Mapped;;;;EB-ACY-Sekber V 2005;
486;Kambil Ketil;Widoro;Giripurwo;Purwosari;Vertikal;Mapped;;435111;9112973;EB-ACY-Sekber V 2005;
487;L. Cawan;;Giripurwo;Purwosari;Vertikal;Mapped;;431794;9112599;EB-ACY-Sekber V 2005;
488;L. Krenceng I;Tlogowarak;Giripurwo;Purwosari;Vertikal;Mapped;;432189;9112072;EB-ACY-Sekber V 2005;
489;L. Krenceng II;Tlogowarak;Giripurwo;Purwosari;Vertikal;Mapped;;432187;9112065;EB-ACY-Sekber V 2005;
490;L. Ngringin I;Ngringin;Giripurwo;Purwosari;Vertikal;Unexplored;;;;EB-ACY-Sekber V 2005;
491;L. Ngringin II;Ng;Giripurwo;Purwosari;Vertikal;Unexplored;;431398;9111871;EB-ACY-Sekber V 2005;
492;L. Bandung I;Tlogowarak;Giripurwo;Purwosari;Vertikal;Unexplored;;431882;9110695;EB-ACY-Sekber V 2005;
493;L. Bandung II;Tlogowarak;Giripurwo;Purwosari;Vertikal;Unexplored;;431882;9110695;EB-ACY-Sekber V 2005;
494;Melikan;Tlogowarak;Giripurwo;Purwosari;Vertikal;Unexplored;;432170;9111370;EB-ACY-Sekber V 2005;
495;L. Jati;Widoro;Giripurwo;Purwosari;Vertikal;Unexplored;;;;EB-ACY-Sekber V 2005;
496;Pawateng;Pawateng;Giripurwo;Purwosari;Vertikal;Unexplored;;;;EB-ACY-Sekber V 2005;
497;L. Palgading;Tlogowarak;Giripurwo;Purwosari;Vertikal;Unexplored;;;;EB-ACY-Sekber V 2005;
498;L. Belimbing;Tlogowarak;Giripurwo;Purwosari;Vertikal;Unexplored;;432034;9111666;EB-ACY-Sekber V 2005;
499;Gua Sumbawang;;Giripurwo;Purwosari;Horisontal;Unexplored;;;;EB-ACY-Sekber V 2005;
500;Gondang;Temon;Giripurwo;Purwosari;Horisontal;Unexplored;;433043;9110594;EB-ACY-Sekber V 2005;
501;L. Lareyan1;Guwokarang;Botodayaan;Rongkop;Vertikal;Mapped;;470398;9103710;EB-ACY-Sekber VI 2008;
502;L. Lareyan2;Guwokarang;Botodayaan;Rongkop;Vertikal;Mapped;;470485;9103678;EB-ACY-Sekber VI 2008;
503;L. Embes;Klepu;Botodayaan;Rongkop;Vertikal;Mapped;;468873;9104346;EB-ACY-Sekber VI 2008;
504;L. Ngandong;Klepu;Botodayaan;Rongkop;Vertikal;Mapped;;469050;9104430;EB-ACY-Sekber VI 2008;
505;L. Telahap;Cabe;Botodayaan;Rongkop;Vertikal;Mapped;;469752;9104628;EB-ACY-Sekber VI 2008;
506;L. Sempok;Cabe;Botodayaan;Rongkop;Vertikal;Mapped;;470037;9104848;EB-ACY-Sekber VI 2008;
507;L. Geblok;Cabe;Botodayaan;Rongkop;Vertikal;Mapped;;470264;9105028;EB-ACY-Sekber VI 2008;
508;Song Cabak;Kerjo;Botodayaan;Rongkop;Horisontal;Mapped;;470165;9105388;EB-ACY-Sekber VI 2008;
509;L. Sumur;Guwokarang;Botodayaan;Rongkop;Vertikal;Mapped;;469390;9103746;EB-ACY-Sekber VI 2008;
510;L. Tlogo;Guwokarang;Botodayaan;Rongkop;Vertikal;Mapped;;470172;9103628;EB-ACY-Sekber VI 2008;
511;L. Mumpang;Guwokarang;Botodayaan;Rongkop;Vertikal;Mapped;;470238;9103548;EB-ACY-Sekber VI 2008;
512;L. Dadapbong;Pringombo B;Pringombo;Rongkop;Vertikal;Mapped;;473164;9104508;EB-ACY-Sekber VI 2008;
513;L. Gunungresik/ Ngluweng;Pringombo A;Pringombo;Rongkop;Vertikal;Mapped;;472163;9104944;EB-ACY-Sekber VI 2008;
514;Gua Keramean 1;Tirisan;Pringombo;Rongkop;Horisontal;Mapped;;471372;9106848;EB-ACY-Sekber VI 2008;
515;Gua Keramean 2;Tirisan;Pringombo;Rongkop;Horisontal;Mapped;;471493;9106828;EB-ACY-Sekber VI 2008;
516;L. Mendak;Tirisan;Pringombo;Rongkop;Vertikal;Mapped;;471902;9106950;EB-ACY-Sekber VI 2008;
517;L. Ampel;Tirisan;Pringombo;Rongkop;Vertikal;Mapped;;472043;9106420;EB-ACY-Sekber VI 2008;
518;L. Pugeran;Semugih;Semugih;Rongkop;Vertikal;Mapped;;473550;9106234;EB-ACY-Sekber VI 2008;
519;Gua Plalar;Plalar;Pringombo;Rongkop;Horisontal;Mapped;;472800;9103834;EB-ACY-Sekber VI 2008;
520;L. Buh Kidul Pakel;Pakel;Pringombo;Rongkop;Vertikal;Mapped;;472972;9103602;EB-ACY-Sekber VI 2008;
521;L. Gandek;Pakel;Pringombo;Rongkop;Vertikal;Mapped;;472890;9103602;EB-ACY-Sekber VI 2008;
522;Gua Tlogo Pakel;Kayangan;Pringombo;Rongkop;Horisontal;Mapped;;473391;9103992;EB-ACY-Sekber VI 2008;
523;Gua Watulawang;Plalar;Pringombo;Rongkop;Horisontal;Mapped;;;;EB-ACY-Sekber VI 2008;
524;L. Pulley;Ginkungan;Botodayaan;Rongkop;Vertikal;Mapped;;468616;9101677;EB-ACY-Sekber VI 2008;
525;L. Sirik;Boto Tengah;Botodayaan;Rongkop;Vertikal;Mapped;;468413;9101117;EB-ACY-Sekber VI 2008;
526;L.Tekek;;Botodayaan;Rongkop;Vertikal;Mapped;;467767;9101699;EB-ACY-Sekber VI 2008;
527;L.Brengos;Brengos;Botodayaan;Rongkop;Vertikal;Mapped;;469745;9103098;EB-ACY-Sekber VI 2008;
528;L. Blintung;;Botodayaan;Rongkop;Vertikal;Mapped;;469925;9101539;EB-ACY-Sekber VI 2008;
529;L. Seropan;Lemah Amblong;Botodayaan;Rongkop;Vertikal;Mapped;;469355;9102363;EB-ACY-Sekber VI 2008;
530;L. Jurang jero;Kedung;Botodayaan;Rongkop;Vertikal;Mapped;;468929;9103321;EB-ACY-Sekber VI 2008;
531;L. Bedok;;Botodayaan;Rongkop;Vertikal;Mapped;;468408;9100698;EB-ACY-Sekber VI 2008;
532;L. Glagah Ombo 1;;Botodayaan;Rongkop;Vertikal;Mapped;;469547;9100039;EB-ACY-Sekber VI 2008;
533;L. Glagah Ombo 2;;Botodayaan;Rongkop;Vertikal;Mapped;;469643;9100049;EB-ACY-Sekber VI 2008;
534;L. Suruh;Suruh;Krambilsawit;Saptosari;;;;;;ASC - EB-ACY-Sekber II - 1997;
535;L. Sengon;;;Saptosari;;;;;;ASC - EB-ACY-Sekber II - 1997;
536;L. Boto;Pringwulung;Krambilsawit;Saptosari;;;;;;ASC - EB-ACY-Sekber II - 1997;
537;L. Pringwulung;Ngondel Kulon;Krambilsawit;Saptosari;;;;;;ASC - EB-ACY-Sekber II - 1997;
538;L.Wana Trebis;Ngondel Wetan;Krambilsawit;Saptosari;;;;;;ASC - EB-ACY-Sekber II - 1997;
539;L. Tembelang;Klumpit;Krambilsawit;Saptosari;;;;;;ASC - EB-ACY-Sekber II - 1997;
540;L. Jrembeng;Bibis;Krambilsawit;Saptosari;;;;;;ASC - EB-ACY-Sekber II - 1997;
541;L. Srumbung;Sentul;Kanigoro;Saptosari;;;;;;ASC - EB-ACY-Sekber II - 1997;
542;L. Pelem Jengger;Sentul;Krambilsawit;Saptosari;;;;;;ASC - EB-ACY-Sekber II - 1997;
543;L. Kaget;Nyemuh;Krambilsawit;Saptosari;;;;;;ASC - EB-ACY-Sekber II - 1997;
544;L. Klego;Ngondel Kulon;Krambilsawit;Saptosari;;;;;;ASC - EB-ACY-Sekber II - 1997;
545;L. Banyu Sumurup;Karanggunung;Krambilsawit;Saptosari;;;;;;ASC - EB-ACY-Sekber II - 1997;
546;L. Alas Kobong;Nglumpit;;Saptosari;;;;;;ASC - EB-ACY-Sekber II - 1997;
547;L. Nglumprit;Nglumpit;;Saptosari;;;;;;ASC - EB-ACY-Sekber II - 1997;
548;L. Paing;;;Saptosari;;;;;;ASC - EB-ACY-Sekber II - 1997;
549;L. Ngejring;;;Saptosari;;;;;;ASC - EB-ACY-Sekber II - 1997;
550;L. Nganyuk;Ngondel Kulon;Krambilsawit;Saptosari;;;;;;ASC - EB-ACY-Sekber II - 1997;
551;L.Ngandhu;Ngondel Wetan;Krambilsawit;Saptosari;;;;;;ASC - EB-ACY-Sekber II - 1997;
552;L. Banteng;Karanggunung;Krambilsawit;Saptosari;;;;;;ASC - EB-ACY-Sekber II - 1997;
553;L. NN;Karanggunung;Krambilsawit;Saptosari;;;;;;ASC - EB-ACY-Sekber II - 1997;
554;L. Jeblos;;;Saptosari;;;;;;ASC - EB-ACY-Sekber II - 1997;
555;L. Ngentak;Bibis;Krambilsawit;Saptosari;;;;;;ASC - EB-ACY-Sekber II - 1997;
556;L. Bedalo;Bedalo;;Saptosari;;;;;;ASC - EB-ACY-Sekber II - 1997;
557;L. Ngelo;Bedalo;;Saptosari;;;;;;ASC 1997;
558;L. Towati;;;Saptosari;;;;;;ASC 1997;
559;L. Kepyok;;;Saptosari;;;;;;ASC 1997;
560;L. Kayu Bang;;;Saptosari;;;;;;ASC 1997;
561;L. Pengason;;Mendak;Saptosari;;;;;;ASC 1997;
562;L. Weru;;Mendak;Saptosari;;;;;;ASC 1997;
563;L. Jomblang;;Mendak;Saptosari;;;;;;ASC 1997;
564;L. Sentul;Sentul;Kanigoro;Saptosari;;;;;;ASC 1997;
565;L. Bandung;;Mendak;Saptosari;;;;;;ASC 1997;
566;L. Jrangkang;;Mendak;Saptosari;;;;;;ASC 1997;
567;L. Kembang;;Mendak;Saptosari;;;;;;ASC 1997;
568;L. Ngampel;;Mendak;Saptosari;;;;;;ASC 1997;
569;L. NN;;Mendak;Saptosari;;;;;;ASC 1997;
